code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding
600980,北矿科技,2020-05-11,0,1,0,0,0,0,1.55,53.53,1.52
600990,四创电子,2020-05-11,0,1,0,0,0,0,1.59,0.0,1.37
600999,招商证券,2020-05-11,0,1,0,0,0,0,66.99,17.12,57.19
601009,南京银行,2020-05-11,0,1,0,0,0,0,100.07,5.18,84.82
601012,隆基股份,2020-05-11,0,1,0,0,0,0,37.72,15.78,37.68
601016,节能风电,2020-05-11,0,1,0,0,0,0,41.56,17.09,41.56
601066,中信建投,2020-05-11,0,1,0,0,0,0,76.46,34.51,8.64
601100,恒立液压,2020-05-11,0,1,0,0,0,0,8.82,46.89,8.82
601106,中国一重,2020-05-11,0,1,0,0,0,0,68.58,147.42,65.38
601111,中国国航,2020-05-11,0,1,0,0,0,0,145.25,0.0,99.62
601116,三江购物,2020-05-11,0,1,0,0,0,0,5.48,24.74,4.11
601128,常熟银行,2020-05-11,0,1,0,0,0,0,27.41,9.4,25.75
601137,博威合金,2020-05-11,0,1,0,0,0,0,6.85,20.25,6.15
601139,深圳燃气,2020-05-11,0,1,0,0,0,0,28.77,24.88,28.66
601163,三角轮胎,2020-05-11,0,1,0,0,0,0,8.0,16.85,8.0
601169,北京银行,2020-05-11,0,1,0,0,0,0,211.43,3.95,182.48
601198,东兴证券,2020-05-11,0,1,0,0,0,0,27.58,24.41,27.58
601216,君正集团,2020-05-11,0,1,0,0,0,0,84.38,9.62,84.38
601218,吉鑫科技,2020-05-11,0,1,0,0,0,0,9.92,33.04,9.77
601222,林洋能源,2020-05-11,0,1,0,0,0,0,17.58,17.32,17.49
601228,广州港,2020-05-11,0,1,0,0,0,0,61.93,21.18,61.93
601298,青岛港,2020-05-11,0,1,0,0,0,0,64.91,9.38,18.7
601319,中国人保,2020-05-11,0,1,0,0,0,0,442.24,10.1,56.02
601330,绿色动力,2020-05-11,0,1,0,0,0,0,11.61,29.95,2.56
601595,上海电影,2020-05-11,0,1,0,0,0,0,3.74,0.0,3.74
601601,中国太保,2020-05-11,0,1,0,0,0,0,90.62,8.02,62.87
601608,中信重工,2020-05-11,0,1,0,0,0,0,43.39,194.67,43.39
601616,广电电气,2020-05-11,0,1,0,0,0,0,9.36,76.73,9.36
601688,华泰证券,2020-05-11,0,1,0,0,0,0,90.77,14.39,73.58
601689,拓普集团,2020-05-11,0,1,0,0,0,0,10.55,56.6,10.48
601788,光大证券,2020-05-11,0,1,0,0,0,0,46.11,11.84,39.07
601798,蓝科高新,2020-05-11,0,1,0,0,0,0,3.55,33.73,3.55
601838,成都银行,2020-05-11,0,1,0,0,0,0,36.12,5.0,18.94
601865,福莱特,2020-05-11,0,1,0,0,0,0,19.5,29.39,3.41
601880,大连港,2020-05-11,0,1,0,0,0,0,128.95,30.87,77.36
601888,中国国旅,2020-05-11,0,1,0,0,0,0,19.52,0.0,19.52
601901,方正证券,2020-05-11,0,1,0,0,0,0,82.32,39.33,82.32
601908,京运通,2020-05-11,0,1,0,0,0,0,19.93,19.32,19.93
601965,中国汽研,2020-05-11,0,1,0,0,0,0,9.7,35.0,9.61
601998,中信银行,2020-05-11,0,1,0,0,0,0,489.35,4.36,319.05
603005,晶方科技,2020-05-11,0,1,0,0,0,0,2.3,98.24,2.3
603010,万盛股份,2020-05-11,0,1,0,0,0,0,3.47,35.05,3.44
603016,新宏泰,2020-05-11,0,1,0,0,0,0,1.48,78.13,1.48
