,code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding,monitor
341,603718,海利生物,2020-05-14,0,1,0,0,0,0,6.44,444.33,6.44,18.07
342,603727,博迈科,2020-05-14,0,1,0,0,0,0,2.34,91.32,2.34,16.02
343,603730,岱美股份,2020-05-14,0,1,0,0,0,0,4.01,19.07,0.73,29.82
344,603737,三棵树,2020-05-14,0,1,0,0,0,0,1.86,0.0,1.85,118.86
345,603738,泰晶科技,2020-05-14,0,1,0,0,0,0,1.69,0.0,1.69,24.5
346,603758,秦安股份,2020-05-14,0,1,0,0,0,0,4.39,0.0,1.51,6.0
347,603766,隆鑫通用,2020-05-14,0,1,0,0,0,0,20.54,17.31,20.54,3.6
348,603787,新日股份,2020-05-14,0,1,0,0,0,0,2.04,0.0,2.04,12.36
349,603798,康普顿,2020-05-14,0,1,0,0,0,0,2.0,15.49,1.97,10.15
350,603799,华友钴业,2020-05-14,0,1,0,0,0,0,11.41,58.76,10.79,36.49
351,603800,道森股份,2020-05-14,0,1,0,0,0,0,2.08,525.23,2.08,12.4
352,603801,志邦家居,2020-05-14,0,1,0,0,0,0,2.23,0.0,1.1,28.08
353,603808,歌力思,2020-05-14,0,1,0,0,0,0,3.33,4.05,3.33,11.98
354,603809,豪能股份,2020-05-14,0,1,0,0,0,0,2.09,15.48,1.15,11.79
355,603833,欧派家居,2020-05-14,0,1,0,0,0,0,4.2,0.0,4.2,115.18
356,603861,白云电器,2020-05-14,0,1,0,0,0,0,4.52,0.0,4.09,8.72
357,603869,新智认知,2020-05-14,0,1,0,0,0,0,5.05,0.0,5.05,10.94
358,603881,数据港,2020-05-14,0,1,0,0,0,0,2.11,114.66,2.11,67.71
359,603888,新华网,2020-05-14,0,1,0,0,0,0,5.19,0.0,5.19,26.27
360,603889,新澳股份,2020-05-14,0,1,0,0,0,0,5.12,10.01,5.12,5.11
361,603906,龙蟠科技,2020-05-14,0,1,0,0,0,0,3.03,29.75,3.0,9.73
362,603920,世运电路,2020-05-14,0,1,0,0,0,0,4.1,49.84,4.05,25.12
363,603968,醋化股份,2020-05-14,0,1,0,0,0,0,2.04,12.03,2.04,14.2
364,603970,中农立华,2020-05-14,0,1,0,0,0,0,1.92,27.3,0.96,16.39
