code,profitForcastExpPubDate,profitForcastExpStatDate,profitForcastType,profitForcastChgPctUp,profitForcastChgPctDwn,name,industry,outstanding
000548,2020-01-21,2019-12-31,预增,61.53,9.34,湖南投资,路桥,4.99
000547,2020-01-18,2019-12-31,预增,68.0,47.0,航天发展,通信设备,11.02
000546,2020-01-18,2019-12-31,预增,60.16,44.15,金圆股份,水泥,6.68
000543,2020-01-22,2019-12-31,预增,59.1,20.0,皖能电力,火力发电,17.9
000539,2020-01-18,2019-12-31,预增,195.07,131.84,粤电力Ａ,火力发电,25.54
600223,2020-01-04,2019-12-31,预增,120.0,80.0,鲁商发展,区域地产,10.01
000613,2020-01-13,2019-12-31,预增,83.68,37.76,大东海A,旅游服务,2.66
600155,2020-01-22,2019-12-31,预增,80.0,80.0,华创阳安,证券,16.9
000622,2020-01-21,2019-12-31,预增,312.35,217.2,恒立实业,汽车配件,4.25
600053,2020-01-31,2019-12-31,预增,708.0,597.0,九鼎投资,多元金融,4.34
600061,2020-01-21,2019-12-31,预增,86.0,70.0,国投资本,证券,41.74
600063,2020-01-21,2019-12-31,预增,207.69,176.92,皖维高新,化纤,19.26
600064,2020-01-22,2019-12-31,预增,103.0,88.0,南京高科,园区开发,12.36
600070,2020-01-21,2019-12-31,预增,177.0,177.0,浙江富润,互联网,4.41
600072,2020-01-18,2019-12-31,预增,129.26,83.41,中船科技,船舶,7.36
600077,2020-01-20,2019-12-31,预增,57.8,31.05,宋都股份,全国地产,13.4
600078,2020-01-18,2019-12-31,预增,252.0,210.0,澄星股份,化工原料,6.63
000655,2020-01-22,2019-12-31,预增,104.02,69.19,金岭矿业,普钢,5.95
000637,2020-01-21,2019-12-31,预增,168.46,109.4,茂化实华,石油加工,3.66
000635,2020-01-23,2019-12-31,预增,116.04,78.79,英 力 特,化工原料,3.03
600131,2020-01-18,2019-12-31,预增,370.0,370.0,岷江水电,水力发电,4.08
600132,2020-01-23,2019-12-31,预增,70.0,50.0,重庆啤酒,啤酒,4.84
600135,2020-01-21,2019-12-31,预增,522.41,474.91,乐凯胶片,化工原料,3.73
000628,2020-01-23,2019-12-31,预增,100.93,37.0,高新发展,园区开发,1.88
600143,2020-01-21,2019-12-31,预增,107.0,85.0,金发科技,塑料,25.74
000623,2020-01-21,2019-12-31,预增,55.0,40.0,吉林敖东,化学制药,11.42
000531,2020-01-18,2019-12-31,预增,420.0,360.0,穗恒运Ａ,火力发电,6.85
600052,2020-01-23,2019-12-31,预增,1067.0,1067.0,浙江广厦,影视音像,8.72
600246,2020-01-16,2019-12-31,预增,100.0,68.0,万通地产,区域地产,20.54
000523,2020-01-23,2019-12-31,预增,125.28,50.19,广州浪奇,日用化工,6.27
600368,2020-01-17,2019-12-31,预增,115.0,101.5,五洲交通,路桥,11.26
000048,2020-01-14,2019-12-31,预增,174.35,117.19,康达尔,饲料,4.02
600369,2020-01-18,2019-12-31,预增,375.0,345.0,西南证券,证券,56.45
600387,2020-01-21,2019-12-31,预增,64.0,36.0,海越能源,石油贸易,3.88
600433,2020-01-18,2019-12-31,预增,53.56,53.56,冠豪高新,造纸,12.71
600449,2020-01-17,2019-12-31,预增,80.0,68.0,宁夏建材,水泥,4.78
000042,2020-01-21,2019-12-31,预增,98.56,53.56,中洲控股,全国地产,6.62
000058,2020-01-10,2019-12-31,预增,133.37,133.37,深 赛 格,元器件,5.38
000027,2020-01-15,2019-12-31,预增,168.0,95.0,深圳能源,火力发电,39.64
600456,2020-01-11,2019-12-31,预增,75.0,75.0,宝钛股份,小金属,4.3
600461,2020-01-18,2019-12-31,预增,60.0,40.0,洪城水业,水务,7.9
000025,2020-01-18,2019-12-31,预增,187.62,107.09,特 力Ａ,汽车服务,3.93
600466,2020-01-21,2019-12-31,预增,53.0,53.0,蓝光发展,区域地产,30.1
600469,2020-01-22,2019-12-31,预增,1104.1,939.91,风神股份,汽车配件,5.62
