,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
43,号百控股,600640,2019-09-11,0,0,5,7.96,83.38,4.05406984187169,2.602727181237831,1.4513426606338584
0,江铃汽车,000550,2019-09-09,0,0,5,8.63,104.12,3.8935686869546164,2.4782727849300836,1.4152959020245328
54,合锻智能,603011,2019-09-11,0,0,5,4.53,260.7,3.8342988408073344,2.069415624129458,1.7648832166778763
10,九鼎新材,002201,2019-09-06,0,0,5,3.32,808.56,3.7230523179318986,1.7195649244073867,2.003487393524512
17,嘉麟杰,002486,2019-09-10,0,0,5,8.32,245.61,3.523223484809932,2.091834859524483,1.4313886252854489
15,深南股份,002417,2019-09-06,0,0,5,2.7,10000.0,3.451467232193455,1.25,2.201467232193455
22,八菱科技,002592,2019-09-12,0,0,5,2.83,10000.0,3.4030664682889573,1.25,2.1530664682889573
14,新纶科技,002341,2019-09-10,0,0,5,11.52,248.37,3.387501461269142,2.0875962594225923,1.2999052018465496
27,龙津药业,002750,2019-09-12,0,0,5,4.0,2093.66,3.3588699726567914,1.505613156598538,1.8532568160582534
3,法 尔 胜,000890,2019-09-10,0,0,5,3.8,10000.0,3.1423179295382826,1.25,1.8923179295382826
20,海能达,002583,2019-09-06,0,0,5,18.37,386.39,3.0813343583629673,1.9327212929489932,1.1486130654139741
45,*ST大控,600747,2019-09-12,0,0,5,14.64,656.11,2.9924882660265437,1.7749525852489427,1.217535680777601
2,炼石航空,000697,2019-09-11,0,0,5,6.72,10000.0,2.783165597923974,1.25,1.5331655979239742
13,*ST百特,002323,2018-08-14,0,0,5,7.46,10000.0,2.7316350423162117,1.25,1.481635042316212
11,南洋股份,002212,2019-09-11,0,0,5,11.58,10000.0,2.5480018829359294,1.25,1.2980018829359294
39,*ST新亿,600145,2015-12-04,0,0,5,14.91,10000.0,2.4616814098289765,1.25,1.2116814098289763
42,*ST信威,600485,2019-09-10,0,0,5,29.24,10000.0,2.2792838337286776,1.25,1.0292838337286774
