code,name,start_date,end_date,days,p_change,p1,p2,p3
MPLX,MPLX LP,2020-01-17,0,100,0,27,0,0
AROC,"Archrock, Inc.",2020-01-17,0,100,0,27,0,0
VEU,Vanguard FTSE All-World ex-US Index Fund,2020-01-17,0,100,0,27,0,0
EOG,"EOG Resources, Inc.",2020-01-17,0,100,0,27,0,0
C,"Citigroup, Inc.",2020-01-17,0,100,0,27,0,0
WPX,"WPX Energy, Inc.",2020-01-17,0,100,0,27,0,0
NTG,"Tortoise Midstream Energy Fund, Inc.",2020-01-17,0,100,0,27,0,0
SNY,Sanofi,2020-01-17,0,100,0,27,0,0
MU,"Micron Technology, Inc.",2020-01-17,0,100,0,27,0,0
EWG,iShares MSCI Germany ETF,2020-01-17,0,100,0,26,0,0
DARE,"Dar茅 Bioscience, Inc.",2020-01-17,0,100,0,26,0,0
VWO,Vanguard FTSE Emerging Markets ETF,2020-01-17,0,100,0,26,0,0
IPG,"Interpublic Group of Cos., Inc.",2020-01-17,0,100,0,26,0,0
IEMG,iShares Core MSCI Emerging Markets ETF,2020-01-17,0,100,0,26,0,0
SJNK,SPDR Bloomberg Barclays Short Term High Yield Bond ETF,2020-01-17,0,100,0,26,0,0
VSLR,"Vivint Solar, Inc.",2020-01-17,0,100,0,26,0,0
EWW,iShares MSCI Mexico Capped ETF,2020-01-17,0,100,0,26,0,0
EPI,WisdomTree India Earnings Fund,2020-01-17,0,100,0,26,0,0
WYNN,Wynn Resorts Ltd.,2020-01-17,0,100,0,26,0,0
CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund,2020-01-17,0,100,0,26,0,0
SPEM,SPDR Portfolio Emerging Markets ETF,2020-01-17,0,100,0,26,0,0
TRMB,"Trimble, Inc.",2020-01-17,0,100,0,26,0,0
RES,"RPC, Inc.",2020-01-17,0,100,0,26,0,0
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,2020-01-17,0,100,0,26,0,0
BSMX,Banco Santander Mexico SA Institucion de Banca Multiple,2020-01-17,0,100,0,26,0,0
AGNC,AGNC Investment Corp.,2020-01-17,0,100,0,26,0,0
ENTG,"Entegris, Inc.",2020-01-17,0,100,0,26,0,0
SCHE,Schwab Emerging Markets Equity ETF,2020-01-17,0,100,0,26,0,0
AMLP,The Alerian MLP ETF,2020-01-17,0,100,0,26,0,0
TS,Tenaris SA,2020-01-17,0,100,0,26,0,0
CIG,Companhia Energ茅tica de Minas Gerais SA,2020-01-17,0,100,0,26,0,0
ALB,Albemarle Corp.,2020-01-17,0,100,0,26,0,0
NFLX,"Netflix, Inc.",2020-01-17,0,100,0,26,0,0
